Year,State,State.Minimum.Wage,State.Minimum.Wage.2020.Dollars,Federal.Minimum.Wage,Federal.Minimum.Wage.2020.Dollars,Effective.Minimum.Wage,Effective.Minimum.Wage.2020.Dollars,CPI.Average,Department.Of.Labor.Uncleaned.Data,Department.Of.Labor.Cleaned.Low.Value,Department.Of.Labor.Cleaned.Low.Value.2020.Dollars,Department.Of.Labor.Cleaned.High.Value,Department.Of.Labor.Cleaned.High.Value.2020.Dollars,Footnote,st_x,Atkin05,Gini,RMeanDev,Theil,st_y,Top10_adj,Top5_adj,Top1_adj,Top05_adj,Top01_adj,Top001_adj,median_income,unempolyment_state,cur_dol_gdp_change,state_population,democratic_percentage
1998,Alabama,0.0,0.0,5.15,8.17,5.15,8.17,163.0,...,0.0,0.0,0.0,0.0,,1,0.25751656293869,0.563707411289215,0.802922189235687,0.704642593860626,1,42.4549903869629,30.8089237213135,16.4825267791748,11.6636352539063,6.18437004089355,2.47414755821228,36266.0,4.0,5.2,4404701.0,0.3333333333333333
1998,Alaska,5.65,8.97,5.15,8.17,5.65,8.97,163.0,5.65,5.65,8.97,5.65,8.97,,2,0.289463102817535,0.589037299156189,0.85379546880722,0.677449584007263,2,35.5391006469727,24.1148414611816,11.3745222091675,8.08984565734863,4.12321519851685,1.60104393959045,50692.0,6.0,-6.1,619932.0,0.2
1998,Arizona,0.0,0.0,5.15,8.17,5.15,8.17,163.0,...,0.0,0.0,0.0,0.0,,3,0.267290055751801,0.57374370098114,0.814101874828339,0.782908856868744,3,44.8276138305664,33.1040458679199,17.8724517822266,13.6986751556396,8.01893043518066,3.34293603897095,37090.0,4.0,8.3,4883342.0,0.2
1998,Arkansas,5.15,8.17,5.15,8.17,5.15,8.17,163.0,5.15[c],5.15,8.17,5.15,8.17,[c],4,0.248622417449951,0.561294376850128,0.79296088218689,0.690742552280426,4,41.014087677002,29.9329662322998,15.8244705200195,11.3685903549194,6.34159708023071,2.85239243507385,27665.0,5.0,4.3,2626289.0,0.25
1998,California,5.15,8.17,5.15,8.17,5.15,8.17,163.0,5.15,5.15,8.17,5.15,8.17,,5,0.30498394370079,0.621916592121124,0.879364788532257,0.948869109153748,5,46.2018661499023,34.9180335998535,19.797477722168,16.1793804168701,9.69936847686768,4.3668475151062,40934.0,5.0,7.2,32987675.0,0.14285714285714285
1998,Colorado,5.15,8.17,5.15,8.17,5.15,8.17,163.0,5.15,5.15,8.17,5.15,8.17,,6,0.28478929400444,0.586810946464539,0.827390789985657,0.837433695793152,6,43.4100189208984,32.3020439147949,17.6852493286133,14.222635269165,8.24959182739258,3.49085783958435,46599.0,3.0,9.8,4116639.0,0.14285714285714285
1998,Connecticut,5.18,8.22,5.15,8.17,5.18,8.22,163.0,5.18,5.18,8.22,5.18,8.22,,7,0.354258328676224,0.642306089401245,0.912092208862305,1.17742514610291,7,54.8416633605957,44.4308090209961,28.1065444946289,22.2949981689453,13.2971067428589,5.99919414520264,46508.0,3.0,5.0,3365352.0,0.2
1998,Florida,0.0,0.0,5.15,8.17,5.15,8.17,163.0,...,0.0,0.0,0.0,0.0,,10,0.31792476773262,0.621242582798004,0.883927583694458,1.05119931697845,10,52.0993843078613,40.5990600585938,24.3831233978271,20.0877838134766,12.1334266662598,5.54777765274048,34909.0,4.0,6.8,15486559.0,0.5
1998,Georgia,3.25,5.16,5.15,8.17,5.15,8.17,163.0,3.25(d),3.25,5.16,3.25,5.16,(d),11,0.278582245111465,0.57941335439682,0.828365862369537,0.791790783405304,11,43.8617744445801,32.2948684692383,16.9595413208008,12.9658918380737,7.20409250259399,2.82558536529541,38665.0,4.0,9.3,7863536.0,0.25
1998,Hawaii,5.25,8.33,5.15,8.17,5.25,8.33,163.0,5.25,5.25,8.33,5.25,8.33,,12,0.231673330068588,0.557972848415375,0.784011542797089,0.575491905212402,12,34.3837242126465,23.9248352050781,11.4775295257568,7.73794269561768,4.01041412353516,1.50191414356232,40827.0,6.0,-0.2,1215233.0,0.3333333333333333
1998,Idaho,5.15,8.17,5.15,8.17,5.15,8.17,163.0,5.15,5.15,8.17,5.15,8.17,,13,0.247664570808411,0.574733674526215,0.796971440315247,0.677748143672943,13,37.8579978942871,27.4819164276123,14.7974529266357,10.6067228317261,5.95379114151001,2.45201992988586,36680.0,5.0,5.3,1252330.0,0.3333333333333333
1998,Illinois,5.15,8.17,5.15,8.17,5.15,8.17,163.0,5.15[c],5.15,8.17,5.15,8.17,[c],14,0.303023248910904,0.596150755882263,0.84376585483551,0.921306252479553,14,45.5160522460938,34.6289443969727,19.8515949249268,16.3216590881348,9.32263946533203,3.99682545661926,43178.0,4.0,5.0,12271847.0,0.25
1998,Indiana,3.35,5.32,5.15,8.17,5.15,8.17,163.0,3.35(e),3.35,5.32,3.35,5.32,(e),15,0.2569919526577,0.552232682704926,0.783783972263336,0.704273343086243,15,40.4586982727051,29.5048751831055,15.8659543991089,11.7039251327515,6.63532209396362,2.75818777084351,39731.0,3.0,8.2,5998880.0,0.3333333333333333
1998,Iowa,5.15,8.17,5.15,8.17,5.15,8.17,163.0,5.15,5.15,8.17,5.15,8.17,,16,0.239211961627007,0.541746914386749,0.763957858085632,0.627498686313629,16,36.5822715759277,26.0595378875732,13.6073608398438,9.56065845489502,5.19213104248047,2.14472651481628,37019.0,2.0,2.4,2902872.0,0.2
1998,Kansas,2.65,4.21,5.15,8.17,5.15,8.17,163.0,2.65,2.65,4.21,2.65,4.21,,17,0.257743299007416,0.556504905223846,0.789763450622559,0.702056169509888,17,39.2321014404297,28.4793262481689,14.7726135253906,10.9148921966553,6.16612958908081,2.4754011631012,36711.0,3.0,5.0,2660598.0,0.25
1998,Kentucky,4.25,6.74,5.15,8.17,5.15,8.17,163.0,4.25,4.25,6.74,4.25,6.74,,18,0.252588123083115,0.554089367389679,0.78645533323288,0.677575528621674,18,41.628963470459,30.1162357330322,15.89870262146,11.2228164672852,5.94158887863159,2.28478837013245,36252.0,4.0,4.6,3985390.0,0.3333333333333333
1998,Louisiana,0.0,0.0,5.15,8.17,5.15,8.17,163.0,...,0.0,0.0,0.0,0.0,,19,0.268065124750137,0.574885308742523,0.821420967578888,0.730952799320221,19,42.553295135498,31.0440616607666,16.6220226287842,11.6647510528564,6.10407590866089,2.30228662490845,31735.0,5.0,3.4,4440344.0,0.25
1998,Maryland,5.15,8.17,5.15,8.17,5.15,8.17,163.0,5.15,5.15,8.17,5.15,8.17,,21,0.266994595527649,0.563262641429901,0.800932705402374,0.744280993938446,21,42.5035285949707,30.591796875,15.8911466598511,12.4213562011719,7.10987234115601,2.93480849266052,50016.0,4.0,6.7,5204464.0,0.5
1998,Missouri,5.15,8.17,5.15,8.17,5.15,8.17,163.0,5.15,5.15,8.17,5.15,8.17,,26,0.265436947345734,0.565257668495178,0.803134381771088,0.753294408321381,26,41.3408699035645,30.3643131256104,16.380298614502,12.1964588165283,7.09251022338867,2.99300527572632,40201.0,4.0,4.0,5521765.0,0.2
1998,Nevada,5.15,8.17,5.15,8.17,5.15,8.17,163.0,5.15,5.15,8.17,5.15,8.17,,29,0.316299736499786,0.613708853721619,0.855135858058929,1.1447821855545,29,49.0412521362305,39.4200134277344,26.4058723449707,22.7503185272217,14.8375339508057,7.72485208511353,39756.0,4.0,8.1,1853191.0,0.2
1998,Ohio,4.25,6.74,5.15,8.17,5.15,8.17,163.0,4.25(g),4.25,6.74,4.25,6.74,(g),36,0.249983742833138,0.537774682044983,0.761528611183167,0.680589199066162,36,39.7625885009766,29.1022529602051,15.1794881820679,11.0681409835815,6.04185104370117,2.3537335395813,38925.0,4.0,5.4,11311536.0,0.3333333333333333
1998,Oklahoma,5.15,8.17,5.15,8.17,5.15,8.17,163.0,5.15(g),5.15,8.17,5.15,8.17,(g),37,0.252818018198013,0.567827582359314,0.798567533493042,0.691587567329407,37,39.2224273681641,28.4273872375488,15.137993812561,10.8583154678345,6.01036262512207,2.45461106300354,33727.0,4.0,2.7,3405194.0,0.25
1998,Oregon,6.0,9.52,5.15,8.17,6.0,9.52,163.0,6,6.0,9.52,6.0,9.52,,38,0.255357414484024,0.566056489944458,0.798200190067291,0.701244652271271,38,41.2128219604492,29.9678726196289,15.3933029174805,11.3101472854614,6.32697534561157,2.49562048912048,39067.0,5.0,4.2,3352449.0,0.14285714285714285
