Year,st,State,Top10_adj,Top5_adj,Top1_adj,Top05_adj,Top01_adj,Top001_adj
1917,0,United States,40.5076560974121,30.6415386199951,17.7371482849121,14.3425903320313,8.40153694152832,3.36520290374756
1917,1,Alabama,30.7369422912598,21.723072052002,14.6993446350098,10.8799028396606,5.47888040542603,1.86341631412506
1917,3,Arizona,35.1036567687988,24.4865779876709,12.01975440979,8.99521541595459,4.38818454742432,1.39469766616821
1917,4,Arkansas,27.2478981018066,18.5383567810059,11.419713973999,8.28502464294434,3.73497581481934,0.974981069564819
1917,5,California,40.9526481628418,29.5793209075928,15.3889026641846,11.7944402694702,5.90385770797729,1.8046168088913
1917,6,Colorado,36.1227569580078,26.6391105651855,13.6507520675659,10.5713958740234,5.78606748580933,2.07293796539307
1917,7,Connecticut,43.8109512329102,33.1147155761719,19.5602245330811,15.6331071853638,8.41250514984131,2.87926483154297
1917,8,Delaware,63.2663307189941,51.415096282959,38.8998756408691,35.0850868225098,26.6103553771973,14.8826484680176
1917,9,District of Columbia,56.2891807556152,39.0376358032227,21.6716747283936,16.9566516876221,8.83072471618652,2.42775702476501
1917,10,Florida,38.8926467895508,29.1673965454102,18.0031318664551,13.3250885009766,6.53931713104248,2.35238313674927
1917,11,Georgia,34.145866394043,24.8346519470215,15.4871597290039,11.336088180542,5.47906112670898,1.74801635742188
1917,13,Idaho,24.8176460266113,16.3200798034668,7.26032590866089,5.22768259048462,2.46941661834717,0.867872714996338
1917,14,Illinois,41.4444198608398,30.6972560882568,17.089916229248,13.7043132781982,7.77208280563354,3.0250518321991
1917,15,Indiana,31.6304359436035,22.5386295318604,11.7469749450684,8.79670143127441,4.55986499786377,1.41848969459534
1917,16,Iowa,25.7628192901611,16.5193386077881,6.50002956390381,4.50648927688599,1.97931313514709,0.521470010280609
1917,17,Kansas,29.2959594726563,20.4077758789063,9.48742961883545,7.01634931564331,3.49590849876404,1.07847285270691
1917,18,Kentucky,33.1019668579102,23.8818073272705,15.2688035964966,11.5576782226563,5.94343900680542,1.84408235549927
1917,19,Louisiana,36.8980751037598,27.3468017578125,16.9273376464844,13.1076669692993,6.60586738586426,1.92246842384338
1917,20,Maine,37.0558090209961,27.4907760620117,17.4840774536133,13.6643409729004,7.24088430404663,2.24509811401367
1917,21,Maryland,51.2466125488281,40.066463470459,22.4644393920898,17.5632820129395,9.13368988037109,3.08527398109436
1917,22,Massachusetts,47.4928894042969,37.0174865722656,23.4531211853027,19.0612831115723,10.3065643310547,3.13463568687439
1917,23,Michigan,37.1685371398926,27.5936737060547,16.4100112915039,13.179612159729,7.5384578704834,2.9196560382843
1917,24,Minnesota,33.5902214050293,24.3274726867676,12.8487091064453,10.2661561965942,5.86136865615845,1.82981371879578
1917,25,Mississippi,25.897216796875,17.3054866790771,12.0957126617432,9.22351551055908,4.62425851821899,1.38433694839478
1917,26,Missouri,39.7603454589844,29.9594116210938,17.3192558288574,13.6257677078247,7.39143991470337,2.56417965888977
1917,27,Montana,31.8370056152344,21.8503036499023,9.64974784851074,6.94883346557617,3.16794800758362,1.02244663238525
1917,28,Nebraska,26.7951831817627,16.31982421875,6.54548978805542,4.6076512336731,2.12840604782104,0.660221755504608
1917,29,Nevada,33.7076072692871,22.6174468994141,9.33057880401611,6.48757934570313,2.65859699249268,0.517387807369232
1917,30,New Hampshire,38.5450248718262,28.85009765625,17.8948707580566,13.9866151809692,7.39621162414551,2.22708868980408
1917,31,New Jersey,45.6727981567383,34.8610877990723,19.9991397857666,15.9984130859375,8.93367099761963,3.20811009407043
1917,32,New Mexico,29.231954574585,20.3493537902832,11.5090885162354,8.73793792724609,4.48684215545654,1.44590771198273
1917,33,New York,53.33984375,41.1927604675293,27.4838790893555,22.9723167419434,14.0632209777832,6.31633138656616
1917,34,North Carolina,28.9953022003174,20.1333446502686,14.0365715026855,10.6134967803955,5.64104318618774,2.17167115211487
1917,35,North Dakota,25.4952774047852,16.9386081695557,6.48387050628662,4.38375568389893,1.78108024597168,0.430331349372864
1917,36,Ohio,38.6818771362305,28.9750118255615,17.5347423553467,14.2215223312378,8.23307991027832,3.338543176651
1917,37,Oklahoma,33.2039070129395,23.9748573303223,12.8894624710083,9.82195568084717,5.29510688781738,2.12677788734436
1917,38,Oregon,33.969970703125,24.6741008758545,13.1811952590942,9.94993782043457,5.05067777633667,1.93594110012054
1917,39,Pennsylvania,40.8294982910156,30.9353065490723,19.25075340271,15.8468704223633,9.36940956115723,3.57020497322083
1917,40,Rhode Island,42.8274192810059,32.758960723877,21.6344089508057,18.1117496490479,11.27099609375,4.93950080871582
1917,41,South Carolina,25.2954483032227,16.7562084197998,9.913818359375,7.13242626190186,3.33933568000793,1.06103777885437
1917,42,South Dakota,20.4785785675049,11.7683553695679,3.98550486564636,2.57499527931213,0.98160707950592,0.241474479436874
1917,43,Tennessee,34.5873069763184,25.2375907897949,16.628023147583,12.5200424194336,6.13222551345825,1.57661521434784
1917,44,Texas,37.7916717529297,28.1624546051025,15.7011251449585,11.8602304458618,6.04766035079956,2.22127485275269
1917,45,Utah,31.6726169586182,22.5771312713623,11.995288848877,9.12877750396729,4.62297058105469,1.56444227695465
1917,46,Vermont,38.0086364746094,28.3604965209961,18.5900192260742,14.9446601867676,8.82081890106201,3.65794491767883
1917,47,Virginia,33.6772270202637,24.4068908691406,15.3305597305298,11.7152481079102,5.97512149810791,1.92366254329681
1917,48,Washington,35.6214904785156,26.1815662384033,12.9168224334717,9.64546012878418,4.79050350189209,1.61521029472351
